
---------- Begin Simulation Statistics ----------
simSeconds                                   0.018028                       # Number of seconds simulated (Second)
simTicks                                  18027800000                       # Number of ticks simulated (Tick)
finalTick                                 18027800000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     73.44                       # Real time elapsed on the host (Second)
hostTickRate                                245468054                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     670364                       # Number of bytes of host memory used (Byte)
simInsts                                     11352627                       # Number of instructions simulated (Count)
simOps                                       22631712                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   154578                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     308155                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         18027801                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22960630                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.instsIssued                       30627444                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  28266                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               328912                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            494748                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            18007987                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.700770                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.144611                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8319066     46.20%     46.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3248618     18.04%     64.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    986038      5.48%     69.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1028510      5.71%     75.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1887181     10.48%     85.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1226824      6.81%     92.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    741446      4.12%     96.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    372732      2.07%     98.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    197572      1.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              18007987                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  101190      3.70%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     11      0.00%      3.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      3.71% # attempts to use FU when none available (Count)
